tipo_credito,fecha_prestamo,capital_prestado,plazo_meses,edad_cliente,tipo_laboral,salario_cliente,total_otros_prestamos,cuota_pactada,puntaje,puntaje_datacredito,cant_creditosvigentes,huella_consulta,saldo_mora,saldo_total,saldo_principal,saldo_mora_codeudor,creditos_sectorFinanciero,creditos_sectorCooperativo,creditos_sectorReal,promedio_ingresos_datacredito,tendencia_ingresos,Pago_atiempo
7,45647.480266203704,3692160,10,42,Independiente,8000000,2500000,341296,88.768094000000005,695.0,10,5,0.0,51258.0,51258.0,0.0,5,0,0,908526,Estable,1
4,45769.408043981479,840000,6,60,Empleado,3000000,2000000,124876,95.227787000000006,789.0,3,1,0.0,8673.0,8673.0,0.0,0,0,2,939017,Creciente,1
9,46030.515740740739,5974028.3999999994,10,36,Independiente,4036000,829000,529554,47.613894000000002,740.0,4,5,0.0,18702.0,18702.0,0.0,3,0,0,,,0
4,45873.502893518518,1671240,6,48,Empleado,1524547,498000,252420,95.227787000000006,837.0,4,4,0.0,15782.0,15782.0,0.0,3,0,0,1536193,Creciente,1
9,45773.475300925929,2781636,11,44,Empleado,5000000,4000000,217037,95.227787000000006,771.0,4,6,0.0,204804.0,204804.0,0.0,3,0,1,933473,Creciente,1
4,45818.370844907404,1031928,12,32,Empleado,2800000,800000,82872,95.227787000000006,721.0,10,13,0.0,24399.0,24399.0,0.0,2,0,8,2808474,Creciente,1
4,45878.542175925926,3064280.4,6,68,Independiente,1000000,22005000,461231,95.227787000000006,814.0,11,8,0.0,211775.0,211775.0,0.0,6,3,0,969508,Creciente,1
4,45887.534247685187,3619560,6,31,Empleado,3782303,305000,542079,95.227787000000006,760.0,1,5,0.0,12078.0,12078.0,0.0,0,1,0,3782303,Creciente,1
9,45807.382847222223,2134827.6,10,31,Empleado,14500000,8000000,181732,95.227787000000006,737.0,0,2,0.0,0.0,,,0,0,0,14007850,Creciente,1
4,45657.606238425928,8400000,6,45,Empleado,14000000,5000000,1166667,95.227787000000006,752.0,4,3,0.0,125383.0,125383.0,0.0,2,0,0,28889623,Creciente,1
9,45737.520509259259,1269000,3,61,Independiente,5000000,2000000,336766,95.227787000000006,708.0,11,15,0.0,178727.0,157581.0,0.0,5,2,3,,,1
4,45741.722210648149,2236561.1999999997,12,58,Empleado,2800000,400000,175932,95.227787000000006,754.0,10,2,0.0,56437.0,56437.0,0.0,5,0,3,3922859,Creciente,1
4,45731.502534722225,4284000,8,66,Independiente,8000000,2400000,486710,95.227787000000006,809.0,5,4,0.0,34874.0,34874.0,0.0,3,0,1,916148,Creciente,1
4,45643.444594907407,2969520,12,61,Independiente,4000000,1500000,232992,95.227787000000006,858.0,5,2,0.0,67246.0,56774.0,0.0,3,0,1,,,1
4,45658.706608796296,1798440,12,52,Empleado,1800000,100000,140941,95.227787000000006,795.0,4,2,0.0,11296.0,11296.0,0.0,3,0,1,1765398,Creciente,1
4,45711.390960648147,2760000,12,43,Independiente,2500000,800000,216838,95.227787000000006,861.0,3,0,0.0,30260.0,30260.0,0.0,1,2,0,,,1
4,45751.431863425925,4344000,6,43,Independiente,20000000,10000000,645827,95.227787000000006,838.0,5,1,0.0,4223.0,4223.0,0.0,2,1,1,1000000,Estable,1
