feature,type,psi,ks_stat,ks_p_value,js_distance,chi2_p_value,drift_detected
tipo_credito,categorical,,,,0.0933012350161921,4.244780481727767e-38,True
promedio_ingresos_datacredito,numeric,0.3871037552534968,0.18541968593719135,2.7627067075720804e-59,,,True
plazo_meses,numeric,0.3486631836687184,0.21808331487718705,1.221980743329526e-112,,,True
tipo_laboral,categorical,,,,0.0352553390379633,2.587274792349254e-07,True
prestamo_month,numeric,2.494448729426687,0.6672106481985041,0.0,,,True
prestamo_year,numeric,0.0,0.26049795615013005,5.352829039747777e-161,,,True
tendencia_ingresos,categorical,,,,0.07969529624150576,4.2870736636410676e-29,True
creditos_total,numeric,0.006259978135915825,0.031642363599410535,0.00898163194185359,,,False
capital_por_mes,numeric,0.04331631055296313,0.0872094520882931,3.097671709497783e-18,,,False
carga_total_salario_ratio,numeric,0.0682279552229158,0.056708883417996805,5.8320371871030375e-08,,,False
otros_prestamos_salario_ratio,numeric,0.08267342466751654,0.07119745894258471,2.6494499428946253e-12,,,False
capital_salario_ratio,numeric,0.026942394185939366,0.06544497682398348,1.849906660628833e-10,,,False
cuota_salario_ratio,numeric,0.02134984317611716,0.04928592151348549,4.079303348422872e-06,,,False
creditos_sectorCooperativo,numeric,0.0019564691441774787,0.013226064622685585,0.7276085708616369,,,False
creditos_sectorReal,numeric,0.002223219855448521,0.017019191146353547,0.40955738612841797,,,False
capital_prestado,numeric,0.023981655273985297,0.04204945473741479,0.00014431730098120213,,,False
creditos_sectorFinanciero,numeric,0.0029759410310729274,0.015850911906275786,0.5020271425773062,,,False
huella_consulta,numeric,0.009293235247789335,0.039488487473749626,0.00043510714503302916,,,False
cant_creditosvigentes,numeric,0.005149935196633221,0.020689978799429926,0.1964006139445701,,,False
puntaje_datacredito,numeric,0.003717301625116379,0.0222998879089245,0.13442241153843706,,,False
cuota_pactada,numeric,0.0506645202120152,0.09818141525113722,5.31812667559469e-23,,,False
total_otros_prestamos,numeric,0.07379265548561144,0.07156468273280245,1.9899251016357127e-12,,,False
salario_cliente,numeric,0.03455429131004579,0.058217660429145286,2.3206165425104772e-08,,,False
edad_cliente,numeric,0.003670256755844674,0.0134066206357602,0.7121584026354711,,,False
datacredito_income_gap,numeric,0.026495268158208674,0.06412744793164078,1.8996672248954933e-07,,,False
